lon,lat,kg_class,bio5,bio14,elevation,presence
123.943149,9.714812,1.0,32.7,53.0,89.769485,1
124.002328,9.645622,1.0,32.4,53.0,133.1729,1
123.851912,9.629294,1.0,33.0,50.0,24.113594,1
123.859052,9.723984,1.0,32.7,51.0,4.562814,1
124.193212,9.788911,1.0,32.0,60.0,309.9817,1
124.033973,9.782368,1.0,32.3,55.0,157.65831,1
124.03403,9.716071,1.0,32.5,54.0,107.18284,1
124.147227,9.671161,1.0,31.4,61.0,361.52905,1
123.95077,9.774876,1.0,32.7,53.0,87.56843,1
124.126563,9.695174,1.0,30.8,65.0,502.75244,1
124.134527,9.680273,1.0,31.2,62.0,415.11377,1
124.020249,9.683027,1.0,32.3,54.0,161.66568,1
124.139716,9.792332,1.0,31.8,59.0,283.452,1
124.144072,9.600337,1.0,32.7,53.0,30.244673,1
124.125513,9.75099,1.0,31.6,58.0,299.76276,1
124.02559,9.615838,2.0,32.6,52.0,60.267048,1
123.968329,9.764864,1.0,32.6,53.0,109.32021,1
124.055574,9.705542,2.0,32.5,54.0,111.884735,1
125.011096,10.572693,1.0,30.0,168.0,385.40073,1
124.070546,9.926555,1.0,32.1,56.0,238.51361,1
124.09862,9.638308,1.0,31.0,63.0,455.67004,1
124.027442,9.744744,1.0,32.3,55.0,143.17474,1
124.040921,9.715628,1.0,32.6,53.0,66.2911,1
124.196373,9.784448,1.0,32.0,60.0,309.9817,1
123.909703,9.683275,1.0,32.7,52.0,76.85556,1
124.094865,9.691872,1.0,31.6,59.0,326.38678,1
123.977046,9.612422,1.0,32.7,51.0,36.02831,1
124.078367,9.890523,1.0,32.0,57.0,273.73343,1
124.151045,9.708728,1.0,30.9,63.0,464.28946,1
124.067212,9.601643,1.0,32.2,54.0,152.41899,1
124.046056,9.603226,2.0,32.5,53.0,87.12845,1
124.165745,9.640323,1.0,32.5,56.0,136.19539,1
123.970697,9.765635,1.0,32.6,53.0,109.32021,1
124.075203,9.639152,1.0,31.0,62.0,440.1767,1
124.134413,9.624632,1.0,32.3,55.0,125.68194,1
123.851044,9.748365,1.0,32.6,52.0,29.57878,1
123.836315,9.616614,1.0,32.8,51.0,77.93111,1
124.158572,9.721265,1.0,30.7,64.0,485.2967,1
124.096165,9.927857,1.0,32.0,57.0,252.30708,1
125.702205,7.189916,1.0,31.8,120.0,126.11416,1
124.153958,9.609145,1.0,32.7,53.0,24.234064,1
123.871576,9.737181,1.0,32.7,51.0,24.989044,1
123.983753,9.672708,1.0,32.1,55.0,209.25752,1
123.812048,9.600215,1.0,32.9,50.0,27.674492,1
124.122693,9.701906,1.0,31.3,61.0,384.39417,1
123.82478,9.635426,1.0,32.9,50.0,10.473779,1
124.039266,9.605318,2.0,32.7,52.0,36.819824,1
123.957834,9.673437,1.0,32.6,53.0,113.3499,1
124.091447,9.656822,1.0,31.3,60.0,382.64084,1
123.812679,9.780973,1.0,31.4,57.0,318.51605,1
124.191282,9.709266,1.0,31.0,62.0,394.88495,1
124.704144,11.068453,1.0,28.6,139.0,716.6298,1
124.159114,9.757866,1.0,31.2,62.0,418.4595,1
123.838215,9.614675,1.0,32.8,51.0,77.93111,1
123.829498,9.743749,1.0,32.2,53.0,112.61687,1
124.137531,9.649458,1.0,31.6,59.0,318.90912,1
123.833907,9.630614,1.0,32.9,50.0,31.795841,1
124.126683,9.973668,1.0,32.7,55.0,78.68119,1
123.92213,9.755221,1.0,32.8,52.0,58.81315,1
123.981802,9.696809,1.0,32.6,53.0,104.00739,1
123.97489,9.656448,1.0,32.4,53.0,144.59651,1
124.142066,9.768254,1.0,31.7,59.0,304.54626,1
125.72124,7.020847,1.0,32.0,111.0,8.502724,1
124.009656,9.945442,1.0,32.7,53.0,43.712578,1
124.144575,9.777727,1.0,31.7,59.0,303.77325,1
123.857986,9.76225,1.0,32.6,52.0,66.39808,1
123.802113,9.768576,1.0,31.5,56.0,279.2377,1
124.187219,9.764969,1.0,31.4,63.0,415.15744,1
124.18624,9.735782,1.0,30.8,65.0,476.62994,1
124.061679,9.841519,1.0,32.0,57.0,227.72769,1
124.30298,9.906134,1.0,33.0,59.0,111.42535,1
124.320822,9.998314,1.0,33.0,56.0,55.217712,1
124.22618,9.832848,1.0,32.5,59.0,214.23868,1
123.843286,9.779704,1.0,31.6,57.0,307.8508,1
124.135475,9.637866,1.0,32.0,57.0,214.374,1
124.040053,9.639919,1.0,32.6,53.0,83.64977,1
123.984015,9.769237,1.0,32.5,54.0,124.90378,1
123.933503,9.790726,1.0,32.4,54.0,126.11615,1
124.106772,9.674576,1.0,31.6,59.0,305.11356,1
124.052432,9.747884,1.0,32.3,55.0,153.64638,1
124.10188,9.740531,1.0,31.6,58.0,309.7117,1
124.337572,9.903495,1.0,32.8,59.0,121.25668,1
124.073754,9.784925,1.0,32.1,56.0,212.66783,1
124.045646,9.79635,1.0,32.2,56.0,183.0486,1
124.011715,9.851327,1.0,31.9,56.0,241.96248,1
124.338876,9.73263,1.0,29.3,83.0,766.15967,1
124.02324,9.787276,1.0,32.1,55.0,203.99469,1
123.990123,9.651734,1.0,32.0,55.0,238.9586,1
123.8629,9.739849,1.0,32.6,51.0,40.831223,1
124.156792,9.618458,1.0,32.7,53.0,42.40411,1
123.933734,9.643803,1.0,32.4,53.0,148.85983,1
124.160086,9.81389,1.0,32.1,59.0,298.03003,1
124.203656,9.910107,1.0,32.4,58.0,192.94392,1
124.128246,9.890146,1.0,31.9,58.0,273.48932,1
123.881215,9.791805,1.0,32.2,54.0,177.06064,1
124.187918,9.646332,1.0,32.1,57.0,203.10243,1
124.156378,9.628087,1.0,32.5,54.0,86.29469,1
124.184637,9.841547,1.0,32.5,58.0,203.85286,1
123.947105,9.708166,1.0,32.7,53.0,94.61663,1
123.946385,9.647271,1.0,32.5,53.0,127.149445,1
123.98329,9.744011,1.0,32.6,53.0,104.57457,1
124.099086,9.656401,1.0,31.3,61.0,383.02457,1
123.908697,9.757289,1.0,32.7,52.0,65.522575,1
124.084914,9.7621,1.0,31.8,57.0,257.63376,1
123.984551,9.757274,1.0,32.6,54.0,111.84452,1
123.927787,9.679853,1.0,32.5,53.0,134.04567,1
123.862288,9.616091,1.0,32.9,50.0,63.093307,1
123.899527,9.655105,1.0,32.7,52.0,95.18302,1
124.155108,9.744975,1.0,31.2,61.0,397.38657,1
124.308053,9.849445,1.0,32.7,59.0,141.81206,1
123.907594,9.707856,1.0,32.8,52.0,59.471012,1
124.183526,9.690841,1.0,31.1,63.0,421.08118,1
124.115802,9.732802,1.0,31.6,58.0,300.57285,1
124.125834,9.60995,1.0,32.4,54.0,88.89719,1
123.880977,9.758848,1.0,32.6,52.0,69.17346,1
124.167473,9.837335,1.0,32.5,58.0,191.54582,1
124.038003,9.742087,1.0,32.3,55.0,152.2577,1
123.871652,9.658729,1.0,32.8,51.0,51.298573,1
123.93882,9.629437,1.0,32.7,51.0,86.6609,1
124.049312,9.781394,1.0,32.4,55.0,134.40451,1
123.214728,7.785396,1.0,30.3,80.0,714.4165,1
124.063132,9.921224,1.0,32.1,56.0,244.51978,1
123.996459,9.630919,1.0,32.6,52.0,72.036644,1
124.019393,9.695079,1.0,32.2,55.0,201.61609,1
123.847956,9.761821,1.0,32.2,54.0,148.04936,1
124.15972,9.733234,1.0,30.8,64.0,472.889,1
124.126222,9.90046,1.0,32.0,58.0,265.62076,1
124.079154,9.980345,1.0,32.6,53.0,32.495846,1
124.04454,9.671715,1.0,32.7,53.0,53.233948,1
124.098237,9.714507,1.0,31.7,58.0,301.82147,1
123.995272,9.683106,1.0,32.4,54.0,136.92444,1
124.174824,9.632101,1.0,32.6,55.0,86.57828,1
124.8,10.68333,1.0,32.0,140.0,7.3024516,1
124.8333,10.8333,1.0,30.0,153.0,356.5797,1
124.817,10.7667,1.0,29.6,146.0,413.8485,1
123.952543,9.691242,1.0,32.7,53.0,100.45721,1
124.0911,9.676008,1.0,31.6,59.0,335.70932,1
123.58628565014112,13.354473249964371,1.0,30.7,131.0,270.55197,0
124.09461695014136,12.87947514996415,1.0,32.1,146.0,28.625017,0
121.76962625014028,17.062791749966095,1.0,34.8,42.0,54.308567,0
123.50295265014108,9.871153849962752,1.0,30.8,65.0,534.81036,0
124.78628085014168,6.937832249961389,1.0,33.2,91.0,9.36953,0
123.60295225014113,9.979486749962803,1.0,33.0,56.0,66.08687,0
120.78629685013982,15.896129749965553,3.0,35.2,8.0,79.30725,0
125.42794495014198,8.696158549962206,1.0,31.9,172.0,130.54657,0
125.73627705014212,8.262826949962005,1.0,32.0,203.0,28.030634,0
125.44461155014199,8.912824349962307,1.0,31.9,192.0,215.52417,0
121.04462915013994,18.521119249966773,1.0,30.4,127.0,418.1457,0
125.23627905014189,7.912828349961842,1.0,30.1,140.0,826.2841,0
125.13627945014184,7.62949614996171,1.0,32.2,111.0,340.05145,0
121.22796175014003,17.646122749966366,14.0,26.3,104.0,1229.5131,0
121.48629405014015,14.479468749964894,1.0,31.0,41.0,304.25366,0
121.01962925013993,18.196120549966622,14.0,26.7,119.0,1173.8119,0
125.64461075014208,8.74615834996223,1.0,32.6,212.0,28.930944,0
120.7362970501398,14.979466749965127,2.0,34.1,8.0,2.7713885,0
124.22794975014142,6.721166449961288,1.0,32.6,95.0,318.15103,0
125.23627905014189,8.979490749962338,1.0,32.1,150.0,155.39813,0
122.33629065014054,7.712829149961749,1.0,30.8,53.0,385.0753,0
126.16960865014232,6.612833549961238,1.0,29.6,145.0,563.1965,0
124.31128275014146,12.479476749963965,1.0,31.5,124.0,112.04075,0
122.2529576501405,7.254497649961536,1.0,32.1,56.0,71.58263,0
120.66963065013977,17.712789149966397,2.0,32.8,10.0,180.2603,0
122.15295805014046,11.004482649963279,2.0,32.5,35.0,121.28357,0
123.319620050141,12.479476749963965,1.0,33.2,68.0,69.86257,0
125.96960945014223,8.629492149962175,1.0,32.1,210.0,52.33574,0
120.77796355013982,15.279465549965266,3.0,34.5,5.0,9.873352,0
123.68628525014117,12.896141749964158,1.0,32.3,122.0,10.277537,0
125.87794315014219,8.22949374996199,1.0,32.1,210.0,15.298567,0
125.49461135014201,11.237815049963388,1.0,30.6,149.0,173.17635,0
121.11129555013997,17.604456249966347,12.0,24.5,100.0,1525.292,0
122.96962145014083,10.66281734996312,1.0,33.3,68.0,28.590267,0
121.72795975014026,18.287786849966665,2.0,33.6,29.0,0.9533214,0
121.94462555014036,17.73778904996641,2.0,31.2,49.0,396.967,0
120.22796575013956,11.904479049963697,2.0,31.0,12.0,270.39548,0
123.61961885014114,8.021161249961892,1.0,32.6,104.0,28.50502,0
122.37795715014056,11.73781304996362,2.0,32.8,77.0,0.8224794,0
125.76961025014214,7.654496049961722,1.0,32.5,151.0,29.992977,0
126.1196088501423,6.59616694996123,1.0,31.2,132.0,224.25755,0
122.2529576501405,11.454480849963488,1.0,31.8,73.0,128.70485,0
122.35295725014055,7.387830449961598,2.0,32.3,52.0,27.768744,0
125.81127675014216,8.271160249962008,1.0,32.2,217.0,20.797108,0
