year,aod
1850.0,0.004379166666666667
1850.0833333333333,0.004200000000000001
1850.1666666666667,0.003991666666666667
1850.25,0.003875
1850.3333333333333,0.003675
1850.4166666666667,0.0036000000000000003
1850.5,0.0033875000000000003
1850.5833333333333,0.0033875000000000003
1850.6666666666667,0.0032916666666666667
1850.75,0.003179166666666667
1850.8333333333333,0.003108333333333333
1850.9166666666667,0.0029750000000000006
1851.0,0.0029750000000000006
1851.0833333333333,0.0028875
1851.1666666666667,0.0027958333333333338
1851.25,0.002683333333333333
1851.3333333333333,0.002575
1851.4166666666667,0.002575
1851.5,0.0024833333333333335
1851.5833333333333,0.0023875
1851.6666666666667,0.0022833333333333334
1851.75,0.0021916666666666664
1851.8333333333333,0.0020916666666666666
1851.9166666666667,0.0019749999999999998
1852.0,0.0018833333333333334
1852.0833333333333,0.0017750000000000003
1852.1666666666667,0.0017750000000000003
1852.25,0.0016875
1852.3333333333333,0.0015708333333333332
1852.4166666666667,0.0014875
1852.5,0.0013958333333333333
1852.5833333333333,0.0012791666666666667
1852.6666666666667,0.0012000000000000003
1852.75,0.0010875000000000001
1852.8333333333333,0.0009958333333333334
1852.9166666666667,0.0009958333333333334
1853.0,0.0008791666666666667
1853.0833333333333,0.0007833333333333334
1853.1666666666667,0.0007833333333333334
1853.25,0.0006708333333333333
1853.3333333333333,0.0006708333333333333
1853.4166666666667,0.0005625000000000001
1853.5,0.0005625000000000001
1853.5833333333333,0.0004833333333333333
1853.6666666666667,0.0004833333333333333
1853.75,0.0004833333333333333
1853.8333333333333,0.0003916666666666667
1853.9166666666667,0.0003916666666666667
1854.0,0.0003916666666666667
1854.0833333333333,0.0003916666666666667
1854.1666666666667,0.0003
1854.25,0.0003
1854.3333333333333,0.0003
1854.4166666666667,0.0003
1854.5,0.0003
1854.5833333333333,0.0003
1854.6666666666667,0.00017916666666666667
1854.75,0.00017916666666666667
1854.8333333333333,0.00017916666666666667
1854.9166666666667,0.00017916666666666667
1855.0,0.00017916666666666667
1855.0833333333333,0.00017916666666666667
1855.1666666666667,0.00017916666666666667
1855.25,0.00017916666666666667
1855.3333333333333,0.00017916666666666667
1855.4166666666667,0.00017916666666666667
1855.5,0.00017916666666666667
1855.5833333333333,0.00017916666666666667
1855.6666666666667,0.00017916666666666667
1855.75,0.0028875
1855.8333333333333,0.007512500000000001
1855.9166666666667,0.012216666666666667
1856.0,0.016825000000000003
1856.0833333333333,0.021375
1856.1666666666667,0.025991666666666673
1856.25,0.030612500000000004
1856.3333333333333,0.035187500000000003
1856.4166666666667,0.03992500000000001
1856.5,0.04328333333333334
1856.5833333333333,0.04560000000000001
1856.6666666666667,0.047891666666666666
1856.75,0.05015833333333334
1856.8333333333333,0.052408333333333335
1856.9166666666667,0.05468333333333334
1857.0,0.057029166666666666
1857.0833333333333,0.0593125
1857.1666666666667,0.0614875
1857.25,0.06378333333333334
1857.3333333333333,0.0661125
1857.4166666666667,0.06839583333333334
1857.5,0.0675
1857.5833333333333,0.06358749999999999
1857.6666666666667,0.05959583333333334
1857.75,0.05565833333333334
1857.8333333333333,0.05171666666666667
1857.9166666666667,0.04779166666666667
1858.0,0.04400833333333334
1858.0833333333333,0.04051666666666667
1858.1666666666667,0.03720416666666667
1858.25,0.0343
1858.3333333333333,0.031504166666666666
1858.4166666666667,0.029004166666666664
1858.5,0.026708333333333334
1858.5833333333333,0.024583333333333336
1858.6666666666667,0.022583333333333334
1858.75,0.020795833333333333
1858.8333333333333,0.0192
1858.9166666666667,0.017608333333333333
1859.0,0.016195833333333336
1859.0833333333333,0.015008333333333334
1859.1666666666667,0.013900000000000001
1859.25,0.013004166666666666
1859.3333333333333,0.0120125
1859.4166666666667,0.011008333333333334
1859.5,0.0103125
1859.5833333333333,0.0096875
1859.6666666666667,0.009091666666666666
1859.75,0.0086125
1859.8333333333333,0.008
1859.9166666666667,0.007404166666666667
1860.0,0.006891666666666667
1860.0833333333333,0.0064
1860.1666666666667,0.005879166666666667
1860.25,0.005395833333333333
1860.3333333333333,0.005008333333333333
1860.4166666666667,0.004579166666666667
1860.5,0.004200000000000001
1860.5833333333333,0.003875
1860.6666666666667,0.0036000000000000003
1860.75,0.0032916666666666667
1860.8333333333333,0.003108333333333333
1860.9166666666667,0.0027958333333333338
1861.0,0.002575
1861.0833333333333,0.0023875
1861.1666666666667,0.0021916666666666664
1861.25,0.0019749999999999998
1861.3333333333333,0.0018833333333333334
1861.4166666666667,0.0016875
1861.5,0.0015708333333333332
1861.5833333333333,0.002683333333333333
1861.6666666666667,0.003991666666666667
1861.75,0.005308333333333334
1861.8333333333333,0.0065875000000000005
1861.9166666666667,0.007904166666666669
1862.0,0.0092
1862.0833333333333,0.010529166666666668
1862.1666666666667,0.0118
1862.25,0.013204166666666664
1862.3333333333333,0.014479166666666668
1862.4166666666667,0.015804166666666664
1862.5,0.016195833333333336
1862.5833333333333,0.015612500000000001
1862.6666666666667,0.015091666666666668
1862.75,0.014479166666666668
1862.8333333333333,0.013995833333333332
1862.9166666666667,0.013516666666666668
1863.0,0.012895833333333334
1863.0833333333333,0.012391666666666667
1863.1666666666667,0.0118
1863.25,0.011304166666666665
1863.3333333333333,0.010720833333333334
1863.4166666666667,0.010208333333333333
1863.5,0.0096875
1863.5833333333333,0.0092
1863.6666666666667,0.008725000000000002
1863.75,0.008195833333333333
1863.8333333333333,0.007804166666666668
1863.9166666666667,0.007308333333333333
1864.0,0.006787499999999999
1864.0833333333333,0.0063
1864.1666666666667,0.005775
1864.25,0.005395833333333333
1864.3333333333333,0.005008333333333333
1864.4166666666667,0.004579166666666667
1864.5,0.004200000000000001
1864.5833333333333,0.003875
1864.6666666666667,0.003675
1864.75,0.003504166666666667
1864.8333333333333,0.0032916666666666667
1864.9166666666667,0.003108333333333333
1865.0,0.0028875
1865.0833333333333,0.002683333333333333
1865.1666666666667,0.0024833333333333335
1865.25,0.0022833333333333334
1865.3333333333333,0.0021916666666666664
1865.4166666666667,0.0019749999999999998
1865.5,0.0018833333333333334
1865.5833333333333,0.0016875
1865.6666666666667,0.0015708333333333332
1865.75,0.0014875
1865.8333333333333,0.0013958333333333333
1865.9166666666667,0.0012791666666666667
1866.0,0.0012000000000000003
1866.0833333333333,0.0010875000000000001
1866.1666666666667,0.0009958333333333334
1866.25,0.0009958333333333334
1866.3333333333333,0.0008791666666666667
1866.4166666666667,0.0007833333333333334
1866.5,0.0007833333333333334
1866.5833333333333,0.0006708333333333333
1866.6666666666667,0.0006708333333333333
1866.75,0.0005625000000000001
1866.8333333333333,0.0005625000000000001
1866.9166666666667,0.0004833333333333333
1867.0,0.0004833333333333333
1867.0833333333333,0.0004833333333333333
1867.1666666666667,0.0003916666666666667
1867.25,0.0003916666666666667
1867.3333333333333,0.0003916666666666667
1867.4166666666667,0.0003916666666666667
1867.5,0.0003
1867.5833333333333,0.0003
1867.6666666666667,0.0003
1867.75,0.0003
1867.8333333333333,0.0003
1867.9166666666667,0.0003
1868.0,0.00017916666666666667
1868.0833333333333,0.00017916666666666667
1868.1666666666667,0.00017916666666666667
1868.25,0.00017916666666666667
1868.3333333333333,0.00017916666666666667
1868.4166666666667,0.00017916666666666667
1868.5,0.00017916666666666667
1868.5833333333333,0.00017916666666666667
1868.6666666666667,0.00017916666666666667
1868.75,0.00017916666666666667
1868.8333333333333,0.00017916666666666667
1868.9166666666667,0.0003
1869.0,0.0003
1869.0833333333333,0.0003916666666666667
1869.1666666666667,0.0004833333333333333
1869.25,0.0004833333333333333
1869.3333333333333,0.0005625000000000001
1869.4166666666667,0.0006708333333333333
1869.5,0.0006708333333333333
1869.5833333333333,0.0006708333333333333
1869.6666666666667,0.0006708333333333333
1869.75,0.0006708333333333333
1869.8333333333333,0.0006708333333333333
1869.9166666666667,0.0006708333333333333
1870.0,0.0006708333333333333
1870.0833333333333,0.0005625000000000001
1870.1666666666667,0.0005625000000000001
1870.25,0.0005625000000000001
1870.3333333333333,0.0005625000000000001
1870.4166666666667,0.0005625000000000001
1870.5,0.0005625000000000001
1870.5833333333333,0.0005625000000000001
1870.6666666666667,0.0005625000000000001
1870.75,0.0005625000000000001
1870.8333333333333,0.0005625000000000001
1870.9166666666667,0.0005625000000000001
1871.0,0.0005625000000000001
1871.0833333333333,0.0005625000000000001
1871.1666666666667,0.0004833333333333333
1871.25,0.0004833333333333333
1871.3333333333333,0.0004833333333333333
1871.4166666666667,0.0004833333333333333
1871.5,0.0004833333333333333
1871.5833333333333,0.0005625000000000001
1871.6666666666667,0.0005625000000000001
1871.75,0.0006708333333333333
1871.8333333333333,0.0006708333333333333
1871.9166666666667,0.0007833333333333334
1872.0,0.0007833333333333334
1872.0833333333333,0.0008791666666666667
1872.1666666666667,0.0008791666666666667
1872.25,0.0009958333333333334
1872.3333333333333,0.0009958333333333334
1872.4166666666667,0.0009958333333333334
1872.5,0.0012000000000000003
1872.5833333333333,0.0013958333333333333
1872.6666666666667,0.0015708333333333332
1872.75,0.0017750000000000003
1872.8333333333333,0.0019749999999999998
1872.9166666666667,0.0021916666666666664
1873.0,0.0023875
1873.0833333333333,0.002575
1873.1666666666667,0.0027958333333333338
1873.25,0.0029750000000000006
1873.3333333333333,0.003179166666666667
1873.4166666666667,0.0033875000000000003
1873.5,0.0033875000000000003
1873.5833333333333,0.0032916666666666667
1873.6666666666667,0.003179166666666667
1873.75,0.003108333333333333
1873.8333333333333,0.0028875
1873.9166666666667,0.0027958333333333338
1874.0,0.002683333333333333
1874.0833333333333,0.0024833333333333335
1874.1666666666667,0.0023875
1874.25,0.0022833333333333334
1874.3333333333333,0.0021916666666666664
1874.4166666666667,0.0019749999999999998
1874.5,0.0018833333333333334
1874.5833333333333,0.0016875
1874.6666666666667,0.0015708333333333332
1874.75,0.0014875
1874.8333333333333,0.0013958333333333333
1874.9166666666667,0.0012791666666666667
1875.0,0.0012000000000000003
1875.0833333333333,0.0010875000000000001
1875.1666666666667,0.0009958333333333334
1875.25,0.0008791666666666667
1875.3333333333333,0.0008791666666666667
1875.4166666666667,0.0007833333333333334
1875.5,0.0007833333333333334
1875.5833333333333,0.0006708333333333333
1875.6666666666667,0.0011333333333333334
1875.75,0.0020666666666666667
1875.8333333333333,0.0030375
1875.9166666666667,0.003995833333333333
1876.0,0.0049791666666666665
1876.0833333333333,0.0059541666666666675
1876.1666666666667,0.006891666666666667
1876.25,0.007895833333333333
1876.3333333333333,0.008879166666666667
1876.4166666666667,0.009870833333333334
1876.5,0.010166666666666666
1876.5833333333333,0.009929166666666668
1876.6666666666667,0.009662500000000001
1876.75,0.00945
1876.8333333333333,0.0092125
1876.9166666666667,0.008941666666666667
1877.0,0.008616666666666668
1877.0833333333333,0.008383333333333335
1877.1666666666667,0.008116666666666668
